Índice	Comprimento da linked list
0	244
1	242
2	244
3	225
4	234
5	251
6	230
7	284
8	263
9	214
10	231
11	218
12	234
13	239
14	252
15	243
16	246
17	251
18	254
19	244
20	222
21	254
22	227
23	249
24	242
25	239
26	238
27	253
28	257
29	257
30	268
31	258
32	245
33	221
34	259
35	264
36	237
37	233
38	246
39	262
40	227
41	229
42	249
43	234
44	212
45	237
46	230
47	222
48	235
49	225
50	226
51	241
52	224
53	247
54	237
55	268
56	256
57	261
58	233
59	229
60	230
61	234
62	242
63	239
64	270
65	256
66	266
67	222
68	233
69	243
70	250
71	262
72	231
73	263
74	289
75	240
76	267
77	244
78	261
79	251
80	255
81	270
82	276
83	228
84	240
85	226
86	257
87	254
88	225
89	245
90	247
91	226
92	245
93	217
94	234
95	255
96	233
97	227
98	249
99	216
