Índice	Comprimento da linked list
0	233
1	232
2	231
3	263
4	217
5	231
6	258
7	229
8	237
9	254
10	256
11	251
12	248
13	230
14	239
15	222
16	253
17	225
18	220
19	238
20	248
21	257
22	247
23	256
24	243
25	257
26	225
27	260
28	226
29	247
30	244
31	213
32	251
33	244
34	253
35	235
36	252
37	253
38	230
39	241
40	247
41	259
42	210
43	262
44	269
45	235
46	253
47	249
48	250
49	239
50	247
51	259
52	253
53	215
54	279
55	239
56	235
57	238
58	217
59	239
60	243
61	270
62	254
63	248
64	237
65	241
66	232
67	239
68	267
69	241
70	230
71	235
72	250
73	238
74	257
75	259
76	237
77	247
78	255
79	265
80	261
81	228
82	248
83	217
84	231
85	223
86	230
87	248
88	251
89	283
90	225
91	247
92	243
93	241
94	219
95	258
96	233
97	268
98	242
99	229
