Índice	Comprimento da linked list
0	158
1	149
2	144
3	143
4	143
5	132
6	138
7	134
8	138
9	140
10	170
11	158
12	181
13	158
14	166
15	173
16	184
17	193
18	205
19	200
20	227
21	172
22	211
23	183
24	205
25	245
26	249
27	260
28	224
29	254
30	266
31	289
32	290
33	262
34	289
35	308
36	289
37	325
38	284
39	270
40	322
41	333
42	358
43	318
44	341
45	337
46	350
47	323
48	331
49	349
50	343
51	367
52	372
53	349
54	353
55	353
56	340
57	305
58	336
59	374
60	319
61	316
62	283
63	320
64	324
65	291
66	300
67	301
68	268
69	289
70	282
71	317
72	293
73	246
74	265
75	235
76	235
77	244
78	226
79	223
80	201
81	226
82	218
83	215
84	232
85	220
86	201
87	182
88	178
89	167
90	154
91	165
92	153
93	158
94	158
95	138
96	149
97	141
98	152
99	166
