Índice	Comprimento da linked list
0	265
1	299
2	302
3	286
4	269
5	269
6	234
7	292
8	268
9	261
10	238
11	259
12	247
13	250
14	220
15	249
16	270
17	276
18	281
19	265
20	245
21	228
22	247
23	228
24	225
25	202
26	221
27	235
28	233
29	237
30	247
31	238
32	222
33	236
34	220
35	227
36	217
37	210
38	208
39	209
40	241
41	226
42	198
43	210
44	230
45	227
46	220
47	242
48	235
49	237
50	227
51	236
52	242
53	216
54	243
55	220
56	246
57	248
58	257
59	224
60	188
61	225
62	236
63	208
64	223
65	256
66	215
67	223
68	242
69	238
70	229
71	216
72	232
73	243
74	273
75	226
76	247
77	222
78	228
79	264
80	256
81	240
82	257
83	268
84	267
85	259
86	269
87	283
88	280
89	269
90	247
91	235
92	268
93	248
94	262
95	256
96	276
97	244
98	285
99	251
